Date,^IRX
2015-01-05,-0.0001199999963864684
2015-01-06,0.0001699999952688813
2015-01-07,0.0
2015-01-08,-2.000000327825546e-05
2015-01-09,-2.9999995604157448e-05
2015-01-12,-1.9999993965029705e-05
2015-01-13,9.999999776482581e-05
2015-01-14,2.0000003278255486e-05
2015-01-15,-2.0000003278255486e-05
2015-01-16,-5.000000819563866e-05
2015-01-19,0.0
2015-01-20,-9.999998845160006e-05
2015-01-21,0.00011999999172985552
2015-01-22,-4.999999888241291e-05
2015-01-23,-1.9999993965029705e-05
2015-01-26,-8.000000379979611e-05
2015-01-27,0.00012999999336898326
2015-01-28,-2.9999995604157448e-05
2015-01-29,-4.999999888241291e-05
2015-01-30,-4.999999888241291e-05
2015-02-02,0.0
2015-02-03,9.999999776482581e-05
2015-02-04,-9.999999776482581e-05
2015-02-05,3.0000004917383203e-05
2015-02-06,6.999999284744261e-05
2015-02-09,-0.0001199999963864684
2015-02-10,1.9999998621642585e-05
2015-02-11,0.0
2015-02-12,3.0000004917383203e-05
2015-02-13,-3.0000004917383203e-05
2015-02-16,0.0
2015-02-17,3.0000004917383203e-05
2015-02-18,4.999999888241291e-05
2015-02-19,0.0
2015-02-20,-3.0000004917383203e-05
2015-02-23,4.999999888241291e-05
2015-02-24,2.9999995604157448e-05
2015-02-25,-2.9999995604157448e-05
2015-02-26,-1.9999993965029705e-05
2015-02-27,-4.999999888241291e-05
2015-03-02,-3.0000004917383203e-05
2015-03-03,8.000000379979611e-05
2015-03-04,-3.0000004917383203e-05
2015-03-05,-6.999999750405549e-05
2015-03-06,1.9999998621642585e-05
2015-03-09,0.0
2015-03-10,4.999999888241291e-05
2015-03-11,3.0000004917383203e-05
2015-03-12,4.999998956918715e-05
2015-03-13,5.000000819563866e-05
2015-03-16,6.999999284744261e-05
2015-03-17,0.0001800000108778477
2015-03-18,-0.00010000001639127732
2015-03-19,-0.000279999990016222
2015-03-20,-6.999999750405549e-05
2015-03-23,0.0
2015-03-24,0.0001199999963864684
2015-03-25,2.9999995604157448e-05
2015-03-26,0.0001000000163912773
2015-03-27,1.9999984651803977e-05
2015-03-30,-6.999999284744261e-05
2015-03-31,2.0000003278255486e-05
2015-04-01,7.999999448657033e-05
2015-04-02,-0.00023000000044703483
2015-04-03,0.0
2015-04-06,-6.999999750405549e-05
2015-04-07,0.0001199999963864684
2015-04-08,2.9999995604157448e-05
2015-04-09,2.000000327825546e-05
2015-04-10,-4.999999888241291e-05
2015-04-13,-9.999999776482581e-05
2015-04-14,4.999999888241291e-05
2015-04-15,4.999999888241291e-05
2015-04-16,-4.999999888241291e-05
2015-04-17,3.0000004917383203e-05
2015-04-20,0.0
2015-04-21,6.999999284744261e-05
2015-04-22,0.0
2015-04-23,0.0
2015-04-24,-4.999999888241291e-05
2015-04-27,-1.9999993965029705e-05
2015-04-28,0.0
2015-04-29,-0.00010000000242143869
2015-04-30,1.9999998621642585e-05
2015-05-01,-1.9999998621642585e-05
2015-05-04,0.0
2015-05-05,5.0000003539025785e-05
2015-05-06,1.9999993965029705e-05
2015-05-07,-4.999999888241291e-05
2015-05-08,-1.9999998621642585e-05
2015-05-11,1.9999998621642585e-05
2015-05-12,8.000000379979611e-05
2015-05-13,-3.0000004917383203e-05
2015-05-14,0.0
2015-05-15,0.0
2015-05-18,-1.9999993965029705e-05
2015-05-19,1.9999993965029705e-05
2015-05-20,3.0000004917383203e-05
2015-05-21,0.0
2015-05-22,-3.0000004917383203e-05
2015-05-25,0.0
2015-05-26,0.0
2015-05-27,3.0000004917383203e-05
2015-05-28,-0.00010000000242143869
2015-05-29,0.0
2015-06-01,5.0000003539025785e-05
2015-06-02,1.9999993965029705e-05
2015-06-03,0.0
2015-06-04,-4.999999888241291e-05
2015-06-05,4.999999888241291e-05
2015-06-08,0.0
2015-06-09,3.0000004917383203e-05
2015-06-10,0.0
2015-06-11,-4.999999888241291e-05
2015-06-12,-3.0000004917383203e-05
2015-06-15,-1.9999998621642585e-05
2015-06-16,5.0000003539025785e-05
2015-06-17,-5.0000003539025785e-05
2015-06-18,0.0
2015-06-19,0.0
2015-06-22,0.0
2015-06-23,5.0000003539025785e-05
2015-06-24,-3.0000004917383203e-05
2015-06-25,0.0
2015-06-26,0.0
2015-06-29,0.0
2015-06-30,4.999999888241291e-05
2015-07-01,-6.999999750405549e-05
2015-07-02,0.0
2015-07-03,0.0
2015-07-06,1.9999998621642585e-05
2015-07-07,4.999999888241291e-05
2015-07-08,0.0
2015-07-09,-1.9999993965029705e-05
2015-07-10,0.0
2015-07-13,0.0
2015-07-14,1.9999993965029705e-05
2015-07-15,3.0000004917383203e-05
2015-07-16,-3.0000004917383203e-05
2015-07-17,3.0000004917383203e-05
2015-07-20,9.999999776482581e-05
2015-07-21,6.999999284744261e-05
2015-07-22,0.0
2015-07-23,0.0
2015-07-24,0.0
2015-07-27,-1.9999984651803977e-05
2015-07-28,0.0001500000059604645
2015-07-29,2.0000003278255486e-05
2015-07-30,0.00014999996870756143
2015-07-31,-2.0000003278255432e-05
2015-08-03,5.0000026822090145e-05
2015-08-04,0.00012000001966953281
2015-08-05,0.0
2015-08-06,-0.00047000002115964894
2015-08-07,0.0002699999883770943
2015-08-10,9.999997913837436e-05
2015-08-11,0.0003299999982118606
2015-08-12,-7.99999386072158e-05
2015-08-13,-7.00000673532486e-05
2015-08-14,-2.99999862909318e-05
2015-08-17,-0.00019999999552965163
2015-08-18,0.0002500000223517419
2015-08-19,-0.0004500000178813935
2015-08-20,-0.0002499999944120645
